Entry,Make,Model,Body,Fit_age_a,Fit_age_b,Fit_age_R2,Fit_miles_a,Fit_miles_b,Fit_miles_R2,Fit_age_cw_R2
144,Volvo,XC90,Sport Utility,61196.64245,0.171660233,0.962615833,63440.09379,0.0025406,-0.390119292,0.892596452
145,Buick,Enclave,Sport Utility,49931.57325,0.164567723,0.793533582,51708.42597,0.001499964,-3.353021892,
146,Hyundai,Tucson,Sport Utility,21000.68801,0.093837376,0.808449115,21906.48153,8.04E-06,0.903151006,0.000565112
147,Nissan,Armada,Sport Utility,43711.2744,0.131275454,0.953384839,46621.51798,1.01E-05,0.900464222,
148,Cadillac,Escalade ESV,Sport Utility,76639.16455,0.158203721,0.857309433,88840.39969,1.70E-05,0.891564628,0.760423607
149,Porsche,Macan,Sport Utility,89483.64609,0.207384204,0.702174501,58911.92168,1.19E-05,0.762108906,
150,Chevrolet,Traverse,Sport Utility,39439.82404,0.169198412,0.925320461,105000.0001,0.000771403,-3.425291207,0.76381962
151,Ford,Flex,Sport Utility,44211.48206,0.156155848,0.71768094,35181.00018,0.001172908,-0.538638156,
152,Nissan,Titan,Truck,36779.08031,0.076632197,0.700043159,36069.24787,8.41E-06,0.731134791,
153,Mercedes-Benz,GLA 250,Sport Utility,34011.85768,0.10850734,0.719507004,33256.65933,1.05E-05,0.826796319,-2.375958591
154,Land Rover,Discovery Sport,Sport Utility,45570.05512,0.151090995,0.645733399,49168.05189,2.18E-05,0.716611147,0.793527992
155,INFINITI,QX60,Sport Utility,32408.36505,0.087460137,0.581761592,105000.0001,0.000771403,-32.75014841,
156,Lexus,RX 450h,Sport Utility,62305.43794,0.152181873,0.970225409,50860.90894,1.13E-05,0.903728481,
157,Subaru,Impreza WRX,Sedan,30652.38014,0.070547406,0.412012931,105000,0.0015,-7.646411063,
158,Lexus,CT 200h,Sedan,26820.73443,0.077663159,0.701896927,10000.00012,0.0015,-23.59121461,
159,FIAT,500,Hatchback,12966.67231,0.05,-0.016492403,105000.0001,0.000771408,-16.36311374,
160,Audi,S4,Sedan,51159.19147,0.127743105,0.891845788,105000,0.001126875,-5.476536546,
