Entry,Make,Model,Body,Fit_age_a,Fit_age_b,Fit_age_c,Fit_age_R2,Fit_miles_a,Fit_miles_b,Fit_miles_c,Fit_miles_R2,Fit_age_cw_R2
1,Toyota,Camry,Sedan,24778.00154729308,0.16734519638464926,3505.388340579251,0.8297060067478711,24332.32360097001,2.317449355329068e-05,6125.391171095102,0.8734501783266447,0.7371119425116524
2,Ford,F150,Truck,41252.13787977359,0.1275308915776216,3840.2991234645697,0.6407105184447164,38241.939351840694,1.3135189504519755e-05,6276.347048447848,0.6399480614601463,0.1990888689612158
3,Honda,Civic,Sedan,23752.459734519558,0.13852318640871655,1994.2381674141575,0.8477994878419313,21177.02802746444,1.4357082804456453e-05,3095.97819423308,0.8281026661053833,0.4863018837920765
4,Toyota,Corolla,Sedan,17899.257070477346,0.12237086517289633,2546.9415087200964,0.8357950307248858,16592.51199326594,2.192369391327639e-05,5843.1658193925705,0.9075698331784969,0.5888368411964411
5,Chevrolet,Silverado 1500,Truck,37447.64597410029,0.08078423462012595,1.3632653720021984e-14,0.681205855377107,33598.86592143307,6.523596239958061e-06,5.330472415829623e-13,0.5824063491218583,-0.5485289181719444
6,Toyota,RAV4,Sport Utility,31410.62583917481,0.14748611996434896,2830.6786514128703,0.852335924041866,26115.4080880314,2.100943108770088e-05,7563.589323582811,0.8479223277641016,0.6953532589374987
7,Toyota,Tacoma,Truck,35495.450356725654,0.06593810171056541,1.3342381775865921e-14,0.7789564861762773,27813.06212862895,1.0124383793275203e-05,7736.298894293652,0.7549089107472426,-0.22337787421569888
8,Honda,Accord,,27314.35365238614,0.14082010647858528,2286.4847872726978,0.8871865138883192,24574.760395596793,1.746954515970886e-05,4790.8011424656825,0.8957769848617155,0.4231254306661494
9,Toyota,Highlander,Sport Utility,45184.35897238188,0.17794272248818951,4338.05420499704,0.9086550280579399,36716.33575268503,1.6031456274285088e-05,7064.006951783027,0.9133234353403332,0.7115563659307769
10,Jeep,Wrangler,Convertible,37932.01422049981,0.14754821377269503,9755.207085263164,0.5879825328868433,26098.262846468533,1.682643219514774e-05,14084.616542631471,0.5986497976134787,-0.33509849652383394
11,Honda,CR-V,Sport Utility,28637.27386158569,0.127846101755148,2324.7674214605236,0.9113366025756385,22972.284153750978,1.7536370664763293e-05,6517.562535013922,0.9042916662216524,0.35347347793160344
12,Ford,Mustang,Coupe,24347.108465576577,0.210486107771241,11043.624631318406,0.21644008688144156,33320.194623799354,2.3982774013072147e-05,6855.194517499305,0.6389272601707678,
13,Jeep,Grand Cherokee,Sport Utility,39042.059062221015,0.10622317997901053,5.117611453424147e-13,0.4117188530488195,25286.437673102995,0.0021407775515675464,22623.295253822587,0.4206526402119629,-0.341883019536972
14,Toyota,Prius,Hatchback,29025.739847142217,0.13958552900181548,1587.3214637339252,0.8965780855023344,20297.32529143068,1.4278212005059503e-05,5021.663979211809,0.7087344580020887,0.5351202452616269
15,BMW,X3,Sport Utility,43249.735980259735,0.19906771029416412,3140.033257559304,0.9055775778620236,40974.77431346462,2.6930728174474228e-05,7997.83581703421,0.938241223931784,0.8910869675170323
16,Toyota,Tundra,Truck,42403.821666808195,0.12350723290572105,6031.081840637485,0.854648522906539,35637.3584846806,1.410867584171236e-05,9597.632869788662,0.8472099524362435,0.2832185674240879
17,BMW,330i,Sedan,41473.026244278866,0.2659440605641067,5655.92837224348,0.7968391090537272,41020.977975493624,2.7862008136180008e-05,4600.283281583235,0.8519261418917341,0.8027980335384914
18,Toyota,4Runner,Sport Utility,45247.5125218187,0.09616601045545528,7.197691564875155e-14,0.9014695893532149,41257.83612179234,8.979091897233136e-06,2173.7818627683146,0.8861386865191034,0.5654498534034378
19,Ford,F250,,48505.300952292244,0.1411646500645887,10486.4880065666,0.7459689826576756,30672.70545829873,0.0029999999999999996,24285.44064982404,0.29704398933147547,0.3132737596251136
20,RAM,1500,Truck,29777.370035390908,0.19007347722035786,10912.851420545652,0.44116328550355777,23317.178020600793,2.0059729731557206e-05,14291.676862113554,0.5197578943633414,
21,Volkswagen,Jetta,Sedan,22599.658901848816,0.16901441373444162,2040.1357149082812,0.823953288422969,17256.52301166214,2.3683023007943946e-05,5138.060144951514,0.8449446689823203,
22,Ford,Explorer,Sport Utility,41044.623935503456,0.20782723608441392,4303.387439007218,0.6226214043761005,38006.49767000383,1.5896025759408985e-05,4263.697318965043,0.7742175179616336,0.5858471785980786
23,BMW,328i,Sedan,45154.64119587427,0.28802712033887057,6595.730622039781,0.8842796359370656,25019.829270412283,1.4131011122466931e-05,2885.9313894002576,0.7910443468659096,
24,Porsche,911,Coupe,109768.29278276942,0.16295009149935386,48572.204857168406,0.3020919891080154,136173.6735129686,4.929111219786395e-05,38231.79348838599,0.4568983382115194,-0.7326498280708096
25,Dodge,Challenger,Coupe,30927.98884348205,0.0601496218219954,3.370002319020291e-08,0.10440940043384694,37156.00587112021,9.683148222202767e-05,19407.489094508175,0.6542176759304072,
26,Toyota,Sienna,Van,36914.085828749296,0.11752843134487842,64.9883378151083,0.8561797117453234,38202.93471140839,1.4541895860655672e-05,3572.2584251510034,0.9214555993844499,0.7369614065526564
27,Chevrolet,Tahoe,Sport Utility,49838.64224735118,0.11628998627079049,1.665015999610008e-15,0.9074774401820473,51240.207888278666,9.545090104474137e-06,7.669411319346717e-09,0.8321828542793057,
28,Honda,Fit,Hatchback,17933.79269448699,0.12073312053956402,2340.6757386883733,0.936859773100886,14477.463833542422,1.6696814545401873e-05,4599.9098086240965,0.9452007594435506,0.3147149646802605
29,Ford,Fusion,Sedan,37475.35737438631,0.298663879309756,4797.551299566464,0.6693045353519219,22886.05673178261,3.971875707726597e-05,7731.878312885285,0.8252339277232633,
30,BMW,X5,Sport Utility,67468.19484522332,0.20798237656414653,3115.8963538280855,0.9475137610426297,63462.68033083484,1.980434152205527e-05,3862.8881283748656,0.9418901370785724,0.9259313971005136
31,Chevrolet,Corvette,Coupe,62691.7605674225,0.07766718094156326,5.708130216128353e-17,0.7022698570735569,45567.1270265489,2.7521405247081328e-05,11530.13410531006,0.755232175980258,
32,Chevrolet,Camaro,Convertible,33526.110788511294,0.17082593509938174,6346.928975672733,0.4949964762618442,27810.06167973445,4.0115945202293385e-05,12894.120845215692,0.6867013168139224,
33,Honda,Pilot,,40071.22131058555,0.146714184339356,1985.3610777862946,0.9078720729830083,35999.22430987319,1.118738023428045e-05,2628.416977032185,0.9452954372920978,0.5221371820627252
34,Lexus,RX 350,Sport Utility,68400.71271986964,0.26938641283519954,8276.672733053667,0.9409713398285471,47819.98643357644,2.5614523805826054e-05,10336.285198725407,0.9443149327665051,
35,Mercedes-Benz,C 300,Sedan,38095.5010377192,0.1655302462808232,3041.587180747109,0.89925775694883,36336.94118293656,1.9257452276425274e-05,4449.135263178842,0.8439519148267322,0.6216658444789394
36,Honda,Odyssey,Van,40292.23411819428,0.13407177057531555,1.6274572818265843e-13,0.9292312225880202,36909.541657671325,1.0596689095314168e-05,2.0654417251142514e-13,0.8970680765413129,0.5933401293867682
37,Volkswagen,Tiguan,Sport Utility,22771.944941184127,0.23300704199593164,5583.161405879836,0.8975539572251234,16497.8878970033,0.001181908078023522,12963.722103973454,0.8253024996567425,0.8247188202092348
38,Ford,Escape,Sport Utility,26963.65591567833,0.14208630283341186,1515.5626740879038,0.6773452957131331,22698.210130891344,2.4935726062025435e-05,6360.139139930569,0.8747004222729861,
39,Ford,Edge,Sport Utility,31265.980581088206,0.13212853835674904,4.1419221009789467e-10,0.5496496057306801,30909.725679942505,2.184741140087691e-05,6443.131445100651,0.8960733422776155,
40,GMC,Sierra 1500,,47777.57288602598,0.11142677998479224,1126.5769115925539,0.7773711679245432,35302.87779808237,6.202060368809188e-06,1.2743711676983793e-05,0.49553773749581975,-0.41309197186072244
41,Nissan,Altima,Sedan,19037.247604447584,0.22413374594273097,4343.413332609867,0.8193598145902878,19708.403081656288,1.9008521797998962e-05,4472.196521459638,0.8310953432639441,0.7046787819826807
42,MINI,Cooper,,25118.866799590833,0.16915605320210553,3323.9019070947984,0.8803337898515214,24467.32527921704,2.9226505961496564e-05,5346.068787735415,0.8868947045869587,0.6779793880638153
43,Volkswagen,Golf,Wagon,28936.414111585007,0.19149933121806148,2422.9340113832213,0.7873923683326692,12243.025914529637,0.0029999999999999996,12951.914438235683,0.6835000496111712,
44,Chevrolet,Suburban,Sport Utility,57217.20160613269,0.15935912848345407,2846.2711518707965,0.7441188608971816,57895.7364299669,1.1281258287195902e-05,9.850116311363802e-09,0.920587028978802,0.6378097163615013
45,Mercedes-Benz,E 350,Sedan,51140.493898648994,0.17571047305285803,2421.135531448502,0.8905530672081331,46718.44374728211,2.9882909901648205e-05,8833.490305543388,0.8277316567648078,0.21216453380742484
46,Subaru,Outback,Sport Utility,34652.93529316966,0.16518669770546066,2791.873428943367,0.8860947728960211,31292.24301593623,9.731244203041752e-06,1.8998781165006118e-11,0.8010591915165504,0.6384029313136346
47,BMW,X1,Sport Utility,42915.10205829468,0.19440561379631902,2.6997885311444665e-14,0.9201199621411399,29404.69350202543,3.1056666316725084e-05,10526.27683659061,0.895238549009335,0.7804803928557914
48,Ford,Ranger,Truck,35745.17003836246,0.1722634729254579,5916.667146681689,0.8509087971633436,26999.94813319802,2.6364209589470603e-05,7775.612577286945,0.8170914532547733,
49,Audi,A4,Wagon,39914.37472978299,0.21492196571337582,3612.3133950714196,0.9103322947453468,36161.44007572566,1.6481845560346286e-05,1736.2695173973977,0.7770643004855753,
50,Acura,MDX,,55139.46673444047,0.1906980462728253,2871.061372768188,0.898340646418306,44804.32266900656,1.433994352429414e-05,3286.7102991674737,0.9052943586377309,
51,GMC,Yukon,Sport Utility,50959.555299301544,0.11341280635413953,2.87993306817162e-08,0.8825517526613502,105000.0,0.0015,24684.963855421694,1.7763568394002505e-15,
52,Volkswagen,GTI,Hatchback,33793.11402250022,0.19753608438803524,4308.281995186369,0.890280810863212,25537.530825994887,1.7149667927298344e-05,5011.875160993236,0.8831186377605611,
53,Chevrolet,Silverado 2500,Truck,56655.82056843742,0.11918228022456072,6220.361097038651,0.765429140155059,42953.15004516229,5.620624722621501e-06,1392.0790780114169,0.4831444202356133,-0.4674986851717442
54,Audi,Q5,Sport Utility,40787.03656106517,0.22611850688043836,7170.602941410775,0.8776899529954094,37094.08189807309,1.8234848782296243e-05,6691.933795094827,0.8846655115556206,
55,GMC,Acadia,Sport Utility,34119.539701929585,0.10241330414819329,4.658532386209819e-14,0.6697966071903767,32830.75152363096,1.2720157575602137e-05,3930.605822207793,0.8114906032849043,-0.14707288001844865
