,@context,@type,Condition,Location,Options,bodyType,brand,color,description,driveWheelConfiguration,image,manufacturer,mileageFromOdometer_@type,mileageFromOdometer_value,model,name,offers_@type,offers_availability,offers_itemCondition,offers_price,offers_priceCurrency,productionDate,url,vehicleEngine,vehicleIdentificationNumber,vehicleInteriorColor,vehicleTransmission
10,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",Sport Utility,Kia,White,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",2 wheel drive - front,https://images.autotrader.com/pictures/atc_upload/565x421_2018KiaNiroFENC.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro LX,Offer,http://schema.org/InStock,http://schema.org/NewCondition,26975,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=538625548,4-Cylinder,KNDCB3LC3K5349920,Gray,Automatic
11,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",Sport Utility,Kia,White,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",2 wheel drive - front,https://images.autotrader.com/hn/c/d2e9f07676b24f3f8835b8eabcd759be.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro LX,Offer,http://schema.org/InStock,http://schema.org/NewCondition,26975,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=538495215,4-Cylinder,KNDCB3LC8K5351775,Charcoal,Automatic
12,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABP, ABS, AM/FM Stereo, AURORA BLACK PEARL, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input",Sport Utility,Kia,Black,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABP, ABS, AM/FM Stereo, AURORA BLACK PEARL, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input",2 wheel drive - front,https://images.autotrader.com/hn/c/28e6a57f3d9e467e80f7cca31d143d6c.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro LX,Offer,http://schema.org/InStock,http://schema.org/NewCondition,26975,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=537223883,4-Cylinder,KNDCB3LC0K5346232,Charcoal,Automatic
13,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABP, ABS, AM/FM Stereo, AURORA BLACK PEARL, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input",Sport Utility,Kia,Black,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABP, ABS, AM/FM Stereo, AURORA BLACK PEARL, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input",2 wheel drive - front,https://images.autotrader.com/pictures/atc_upload/565x421_2018KiaNiroFENC.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro LX,Offer,http://schema.org/InStock,http://schema.org/NewCondition,26975,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=537366431,4-Cylinder,KNDCB3LC9K5340168,Charcoal,Automatic
14,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",Sport Utility,Kia,White,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",2 wheel drive - front,https://images.autotrader.com/hn/c/88b905d59cad4d01980feecd741e2e66.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro LX,Offer,http://schema.org/InStock,http://schema.org/NewCondition,26925,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=538150309,4-Cylinder,KNDCB3LCXK5350241,Charcoal,Automatic
15,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",Sport Utility,Kia,White,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",2 wheel drive - front,https://images.autotrader.com/hn/c/14c1f5046665403589c89c7059886d93.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro LX,Offer,http://schema.org/InStock,http://schema.org/NewCondition,26925,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=539988057,4-Cylinder,KNDCB3LC1K5350239,Charcoal,Automatic
16,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",Sport Utility,Kia,White,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",2 wheel drive - front,https://images.autotrader.com/hn/c/e7af401fda894391bef6acaf199611cd.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro LX,Offer,http://schema.org/InStock,http://schema.org/NewCondition,26925,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=535781587,4-Cylinder,KNDCB3LC5K5349921,Gray,Automatic
17,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",Sport Utility,Kia,White,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",2 wheel drive - front,https://images.autotrader.com/hn/c/ae0494d56fed4ac1b866a03158f330e9.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro LX,Offer,http://schema.org/InStock,http://schema.org/NewCondition,26925,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=535781614,4-Cylinder,KNDCB3LC7K5349919,Gray,Automatic
18,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",Sport Utility,Kia,White,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",2 wheel drive - front,https://images.autotrader.com/hn/c/791e9350a0a64f15a0128628dcdb0caf.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro LX,Offer,http://schema.org/InStock,http://schema.org/NewCondition,26925,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=536572409,4-Cylinder,KNDCB3LC4K5351773,Charcoal,Automatic
19,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABP, ABS, AM/FM Stereo, AURORA BLACK PEARL, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input",Sport Utility,Kia,Black,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABP, ABS, AM/FM Stereo, AURORA BLACK PEARL, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input",2 wheel drive - front,https://images.autotrader.com/hn/c/f9f8175200a14b28962c64696d451fe8.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro LX,Offer,http://schema.org/InStock,http://schema.org/NewCondition,26925,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=536572427,4-Cylinder,KNDCB3LC8K5338699,Charcoal,Automatic
