Make,Model,Body,Count
Mercedes-Benz,E 350,Coupe,49
Cadillac,XT6,SUV,49
Mitsubishi,Lancer Evolution,Sedan,49
Audi,SQ5,SUV,49
Chrysler,Sebring,Convertible,48
BMW,650i,Convertible,48
Cadillac,CTS,Coupe,48
Volvo,S80,Sedan,48
Nissan,Altima,Coupe,48
Ford,Transit 150,Van,48
Nissan,Versa Note,Hatchback,48
Buick,Lucerne,Sedan,48
Mercedes-Benz,GLC 43 AMG,SUV,48
Mercedes-Benz,GL 550,SUV,47
Audi,A4,Wagon,47
Lexus,GS 300,Sedan,47
Land Rover,Discovery,SUV,47
Volkswagen,Eos,Convertible,46
Lexus,RX 300,SUV,46
Lincoln,MKX,SUV,46
Lincoln,MKC,SUV,46
Jaguar,XE,Sedan,46
Ferrari,F430,Convertible,46
Pontiac,Firebird,Coupe,46
INFINITI,M35,Sedan,45
Pontiac,Grand Prix,Sedan,45
Nissan,Versa,Hatchback,45
Mercedes-Benz,C 300,Coupe,45
Toyota,Yaris,Hatchback,45
Land Rover,LR4,SUV,45
Ferrari,California,Convertible,45
Cadillac,STS,Sedan,44
Toyota,Solara,Convertible,44
Audi,A5,Convertible,44
GMC,Envoy,SUV,44
Lexus,IS 300,Sedan,44
Hyundai,Genesis Coupe,Coupe,44
BMW,740i,Sedan,44
BMW,750i,Sedan,44
Volvo,S90,Sedan,44
Chevrolet,Avalanche,SUV,43
BMW,M3,Sedan,43
Audi,A3,Wagon,43
Lexus,ES 300h,Sedan,43
BMW,550i,Sedan,43
Mercedes-Benz,CLS 450,Sedan,42
Ford,Expedition Max,SUV,42
Dodge,Avenger,Sedan,42
INFINITI,Q60,Coupe,42
Mercedes-Benz,C 63 AMG,Sedan,42
Toyota,Prius C,Hatchback,42
Mercedes-Benz,E 63 AMG,Sedan,42
Subaru,Impreza WRX,Wagon,42
Lincoln,MKX,Sedan,41
Subaru,Impreza,Hatchback,41
INFINITI,G35,Coupe,41
INFINITI,EX35,SUV,40
Tesla,Model S,Sedan,40
BMW,750i xDrive,Sedan,40
Chevrolet,SSR,Truck,40
BMW,M4,Coupe,40
GMC,Savana 2500,Van,40
MAZDA,CX-7,SUV,39
Saturn,Sky,Convertible,39
MINI,Cooper Countryman,SUV,39
RAM,5500,Truck,39
Audi,TT,Coupe,39
Lexus,LX 570,SUV,38
Alfa Romeo,Stelvio,SUV,38
Chevrolet,TrailBlazer EXT,SUV,38
Mercedes-Benz,GLB 250,SUV,38
Hyundai,Elantra,Hatchback,38
Chevrolet,Cobalt,Coupe,38
Toyota,Solara,Coupe,38
Chrysler,PT Cruiser,Hatchback,38
Chevrolet,S10 Pickup,Truck,37
BMW,335i,Coupe,37
Toyota,Supra,Hatchback,37
Toyota,Matrix,Hatchback,37
Scion,FR-S,Coupe,37
Dodge,Caliber,Hatchback,37
BMW,540i,Sedan,37
BMW,430i Gran Coupe,Hatchback,36
Nissan,NV200,Van,36
Mercedes-Benz,C 230,Sedan,36
Alfa Romeo,Giulia,Sedan,36
Mercedes-Benz,S 430,Sedan,36
Mitsubishi,Lancer,Sedan,35
Mercedes-Benz,S 63 AMG,Sedan,35
Audi,e-tron,SUV,35
Mercury,Mountaineer,SUV,34
Dodge,Nitro,SUV,34
Ford,C-MAX,Hatchback,34
BMW,525i,Sedan,34
Maserati,GranTurismo,Convertible,34
Ford,Flex,Sedan,34
HUMMER,H2,Truck,34
INFINITI,QX30,SUV,34
Buick,Century,Sedan,34
GMC,Sierra 3500,Truck,34
Lexus,LX 470,SUV,34
Audi,A4,Convertible,33
Mercedes-Benz,E 450,Coupe,33
Jaguar,XK8,Convertible,33
Mercury,Mariner,SUV,33
Audi,A5,Hatchback,33
Volvo,XC70,Wagon,33
Chevrolet,Caprice,Sedan,32
Genesis,G80,Sedan,32
Saturn,ION,Sedan,32
BMW,128i,Convertible,32
Kia,Spectra,Sedan,32
Mercedes-Benz,E 350,Convertible,32
Volvo,C70,Convertible,31
Jeep,Gladiator,Truck,31
Mercedes-Benz,CL 550,Coupe,31
Hyundai,Accent,Hatchback,31
Lincoln,MKS,Sedan,31
Mercury,Milan,Sedan,31
Bentley,Continental,Sedan,31
BMW,650i,Coupe,31
Mercedes-Benz,S 500,Sedan,31
Land Rover,LR2,SUV,30
Cadillac,CT6,Sedan,30
Mitsubishi,Eclipse Cross,SUV,30
BMW,320i xDrive,Sedan,30
BMW,Z3,Convertible,30
Chrysler,Pacifica,SUV,30
BMW,325Ci,Convertible,30
Volvo,V70,Wagon,29
Toyota,Prius V,Wagon,29
Volkswagen,Routan,Van,29
Kia,Cadenza,Sedan,29
INFINITI,M37,Sedan,29
BMW,335i xDrive,Sedan,29
Nissan,350Z,Coupe,29
Mercedes-Benz,C 350,Sedan,29
Mercedes-Benz,C 43 AMG,Sedan,29
MAZDA,CX-3,SUV,29
Saab,9-3,Sedan,28
BMW,128i,Coupe,28
Honda,Insight,Sedan,28
Mercedes-Benz,SLK 350,Convertible,28
Mercedes-Benz,SL 55 AMG,Convertible,28
Mercedes-Benz,GLE 63 AMG,SUV,28
Mercedes-Benz,E 450,Convertible,28
Subaru,BRZ,Coupe,28
Audi,S5,Convertible,28
BMW,M6,Coupe,28
Jaguar,E-PACE,SUV,28
Lincoln,Continental,Sedan,28
Ferrari,458 Italia,Coupe,27
Land Rover,LR3,SUV,27
FIAT,124 Spider,Convertible,27
Chrysler,Sebring,Sedan,27
Mitsubishi,Galant,Sedan,27
BMW,430i,Coupe,27
Saturn,Aura,Sedan,27
INFINITI,Q70,Sedan,27
Audi,R8,Coupe,27
Jaguar,F-TYPE,Coupe,27
Mercury,Sable,Sedan,27
Ferrari,F430,Coupe,26
Nissan,GT-R,Coupe,26
Pontiac,Solstice,Convertible,26
Audi,TT,Convertible,26
Jaguar,F-TYPE,Convertible,26
Lexus,NX 300,SUV,26
Jaguar,XK,Coupe,26
Nissan,350Z,Convertible,26
BMW,428i,Coupe,26
Pontiac,G8,Sedan,26
Audi,S3,Sedan,25
Lexus,IS 250C,Convertible,25
Pontiac,GTO,Coupe,25
BMW,340i,Sedan,25
MAZDA,Tribute,SUV,25
Chevrolet,Aveo,Sedan,25
Pontiac,Vibe,Wagon,25
INFINITI,JX35,SUV,25
Dodge,Magnum,Wagon,25
Subaru,Tribeca,SUV,25
Kia,Stinger,Sedan,25
Mercedes-Benz,C 300,Convertible,25
Mercedes-Benz,G 63 AMG,SUV,24
Buick,Envision,SUV,24
Chevrolet,Cruze,Hatchback,24
BMW,X3 M,SUV,24
GMC,Envoy XL,SUV,24
Chevrolet,Sonic,Hatchback,24
Honda,Fit,Sedan,24
Acura,RL,Sedan,24
Mercedes-Benz,E 550,Sedan,24
Mercedes-Benz,GL 350,SUV,24
BMW,M2,Coupe,24
INFINITI,G37,Convertible,24
Hyundai,Veracruz,SUV,24
Mitsubishi,Eclipse,Hatchback,23
Mercedes-Benz,C 240,Sedan,23
MINI,Cooper Countryman,Sedan,23
Rolls-Royce,Ghost,Sedan,23
BMW,M6,Convertible,23
BMW,330Ci,Convertible,23
Volkswagen,Arteon,Sedan,23
Lamborghini,Gallardo,Coupe,22
Toyota,Matrix,Wagon,22
BMW,135i,Coupe,22
Mercedes-Benz,G 500,SUV,22
GMC,Savana 3500,Van,22
Volkswagen,Passat,Wagon,22
Cadillac,Escalade EXT,SUV,22
BMW,M Roadster,Convertible,22
Chevrolet,Uplander,Van,22
Buick,Regal,Wagon,22
Dodge,Caravan,Van,22
Jaguar,XJ8,Sedan,22
MAZDA,MAZDA2,Hatchback,22
BMW,640i Gran Coupe,Sedan,22
Scion,xD,Hatchback,22
Mercedes-Benz,CLS 500,Sedan,22
Cadillac,XT4,SUV,22
Jaguar,S-TYPE,Sedan,22
Audi,S6,Sedan,22
Mercedes-Benz,CL 500,Coupe,22
Buick,Rendezvous,SUV,22
Buick,Verano,Sedan,21
Chevrolet,Captiva Sport,SUV,21
Mitsubishi,Mirage G4,Sedan,21
BMW,135i,Convertible,21
Mercedes-Benz,560 SL,Convertible,21
Honda,Crosstour,Hatchback,21
Aston Martin,V8 Vantage,Coupe,21
Mercedes-Benz,G 550,SUV,21
INFINITI,QX70,SUV,21
Mitsubishi,Endeavor,SUV,21
Nissan,300ZX,Hatchback,21
Mercedes-Benz,CLA 45 AMG,Sedan,21
Mercedes-Benz,CLK 350,Convertible,21
Hyundai,Tiburon,Coupe,21
Volvo,V60,Wagon,21
RAM,ProMaster City,Van,20
BMW,330e,Sedan,20
Mercedes-Benz,ML 320,SUV,20
Ferrari,360,Convertible,20
Mercedes-Benz,GLS 550,SUV,20
Mercedes-Benz,AMG GT,Coupe,20
Saab,9-3,Convertible,20
Lexus,RX 350L,SUV,20
Mercedes-Benz,E 350,Wagon,20
MINI,Cooper Clubman,Coupe,20
Lexus,RX 400h,SUV,20
Volkswagen,Beetle,Coupe,20
Mercedes-Benz,SLK 280,Convertible,20
BMW,645Ci,Convertible,20
Subaru,Forester,Wagon,20
Cadillac,XLR,Convertible,20
Mercedes-Benz,E 500,Sedan,20
Porsche,718 Boxster,Convertible,19
Dodge,Viper,Coupe,19
Ferrari,360,Coupe,19
Dodge,Viper,Convertible,19
BMW,325xi,Sedan,19
Chevrolet,Astro,Van,19
Audi,A3,Convertible,19
Plymouth,Prowler,Convertible,19
Honda,Clarity,Sedan,19
Mercedes-Benz,GLE 450,SUV,19
Mercedes-Benz,SLC 300,Convertible,19
Cadillac,Seville,Sedan,19
Hyundai,Azera,Sedan,19
MAZDA,MAZDASPEED3,Hatchback,19
Mercedes-Benz,C 280,Sedan,19
BMW,750Li xDrive,Sedan,19
BMW,X5 M,SUV,19
Cadillac,Eldorado,Coupe,19
Mercedes-Benz,CLK 320,Convertible,19
Jaguar,X-TYPE,Sedan,19
Mercedes-Benz,C 250,Coupe,18
Mercedes-Benz,S 600,Sedan,18
BMW,228i,Coupe,18
Mercedes-Benz,380 SL,Convertible,18
Acura,NSX,Coupe,18
Acura,RLX,Sedan,18
Mercedes-Benz,G 55 AMG,SUV,18
Jaguar,XK,Convertible,18
Cadillac,ATS,Coupe,17
Mercedes-Benz,CLS 63 AMG,Sedan,17
Kia,Soul,Wagon,17
Porsche,718 Cayman,Coupe,17
Aston Martin,DB9,Convertible,17
Honda,Insight,Hatchback,17
Nissan,370Z,Convertible,17
Mercedes-Benz,SLK 250,Convertible,17
BMW,428i Gran Coupe,Hatchback,17
Mercedes-Benz,E 53 AMG,Sedan,17
Ford,Five Hundred,Sedan,17
Ford,Focus,Coupe,17
Honda,CR-Z,Hatchback,17
Audi,S7,Hatchback,17
Nissan,Cube,Wagon,17
Mitsubishi,Mirage,Hatchback,17
FIAT,500X,SUV,17
Mercedes-Benz,CLK 350,Coupe,16
Mercedes-Benz,C 63 AMG,Coupe,16
Saturn,L-Series,Sedan,16
Audi,allroad,Wagon,16
Mercedes-Benz,AMG GT,Convertible,16
Dodge,Neon,Sedan,16
Ford,Freestar,Van,16
BMW,430i,Convertible,16
BMW,745Li,Sedan,16
Subaru,XV Crosstrek,SUV,16
RAM,4500,Truck,16
BMW,M4,Convertible,16
FIAT,500,Convertible,16
FIAT,500L,Hatchback,16
BMW,230i,Coupe,16
Pontiac,Grand Am,Sedan,16
Pontiac,Firebird,Convertible,16
MAZDA,MX-5 Miata RF,Convertible,16
BMW,650i Gran Coupe,Sedan,15
Pontiac,Vibe,Hatchback,15
Pontiac,Montana,Van,15
Mercedes-Benz,ML 550,SUV,15
MAZDA,MPV,Van,15
Mercedes-Benz,CLK 320,Coupe,15
Chrysler,PT Cruiser,Convertible,15
Acura,RSX,Coupe,15
Lexus,RX 350,Wagon,15
Bentley,Flying Spur,Sedan,15
Buick,Cascada,Convertible,15
Cadillac,CT5,Sedan,15
Pontiac,Bonneville,Sedan,15
Mercedes-Benz,CL 63 AMG,Coupe,15
Mercedes-Benz,E 400,Coupe,15
Volkswagen,Eurovan,Van,15
BMW,328i xDrive,Coupe,15
Mercedes-Benz,C 43 AMG,Coupe,15
BMW,328xi,Sedan,15
Mercedes-Benz,E 450,Sedan,15
Ford,Windstar,Van,15
HUMMER,H1,SUV,15
Audi,S5,Hatchback,15
Ford,Freestyle,SUV,14
Mercedes-Benz,R 350,Wagon,14
Land Rover,Defender,SUV,14
Mercedes-Benz,SLK 230,Convertible,14
Hyundai,Veloster,Coupe,14
Aston Martin,DB9,Coupe,14
BMW,M235i,Coupe,14
BMW,650i Gran Coupe xDrive,Sedan,14
Acura,RSX,Hatchback,14
Volvo,C30,Hatchback,14
INFINITI,I35,Sedan,14
Lincoln,MKT,SUV,14
Tesla,Model 3,Sedan,14
Saturn,Outlook,SUV,14
GMC,Sonoma,Truck,14
BMW,530i xDrive,Sedan,14
Kia,Rondo,Wagon,14
Chevrolet,Malibu,Wagon,14
BMW,328i xDrive,Wagon,14
Dodge,Sprinter,Van,14
Chevrolet,Venture,Van,13
Chrysler,Crossfire,Coupe,13
HUMMER,H1,Truck,13
Scion,tC,Hatchback,13
INFINITI,G25,Sedan,13
BMW,M240i,Coupe,13
Lincoln,Navigator L,SUV,13
Jaguar,XJS,Convertible,13
Chevrolet,Cavalier,Sedan,13
BMW,328d,Sedan,13
Toyota,Prius,Sedan,13
Lamborghini,Gallardo,Convertible,13
Jaguar,I-PACE,SUV,13
Mercedes-Benz,E 450,Wagon,13
Pontiac,G5,Coupe,13
Ferrari,F355,Convertible,13
Toyota,86,Coupe,13
BMW,550i xDrive,Sedan,13
Genesis,G70,Sedan,13
Mercedes-Benz,R 350,SUV,13
Dodge,Ram SRT-10,Truck,13
MAZDA,Protege,Sedan,13
Mitsubishi,Eclipse,Convertible,13
Hyundai,Ioniq,Hatchback,13
BMW,328i Gran Turismo xDrive,Hatchback,13
BMW,435i,Coupe,13
Mercedes-Benz,SLK 300,Convertible,13
Mercedes-Benz,AMG GT,Hatchback,13
Mercedes-Benz,C 320,Sedan,12
Mercedes-Benz,SLK 320,Convertible,12
Mercedes-Benz,C 43 AMG,Convertible,12
Mercedes-Benz,ML 63 AMG,SUV,12
Jaguar,XJ Vanden Plas,Sedan,12
Mercedes-Benz,S 560,Coupe,12
Mercedes-Benz,E 55 AMG,Sedan,12
Mercedes-Benz,GLC 63 AMG,SUV,12
Mercedes-Benz,C 63 AMG,Convertible,12
Pontiac,G6,Coupe,12
BMW,325Ci,Coupe,12
Toyota,Pickup,Truck,12
BMW,740Li,Sedan,12
Chevrolet,Cavalier,Coupe,12
Ford,GT,Coupe,12
Volkswagen,Vanagon,Van,12
Buick,Regal,Hatchback,12
Ferrari,599 GTB Fiorano,Coupe,12
Subaru,Ascent,SUV,12
Hyundai,Equus,Sedan,12
Subaru,XV Crosstrek,Wagon,12
Chevrolet,Aveo5,Hatchback,12
Pontiac,Torrent,SUV,12
BMW,M240i,Convertible,12
Audi,TTS,Coupe,12
Rolls-Royce,Phantom,Sedan,11
Chevrolet,C/K Truck,Truck,11
Audi,R8,Convertible,11
RAM,C/V,Van,11
Chevrolet,City Express,Van,11
Mercedes-Benz,SLK 55 AMG,Convertible,11
Mercedes-Benz,SL 63 AMG,Convertible,11
Chrysler,200,Convertible,11
Ferrari,F12 Berlinetta,Coupe,11
Porsche,Panamera,Wagon,11
Ford,Bronco,SUV,11
Jeep,CJ,SUV,11
BMW,540i xDrive,Sedan,11
Pontiac,G6,Convertible,11
Acura,CL,Coupe,11
Mercedes-Benz,E 320,Convertible,11
Cadillac,Fleetwood,Sedan,11
Kia,Forte Koup,Coupe,11
BMW,530e,Sedan,11
Lincoln,Nautilus,SUV,11
Mercedes-Benz,AMG GT,Sedan,11
Mercedes-Benz,E 550,Convertible,11
Volvo,C30,Coupe,11
BMW,328i,Wagon,11
Porsche,928,Coupe,11
Mercedes-Benz,S 550,Coupe,11
Lexus,LS 500,Sedan,11
Aston Martin,Vanquish,Coupe,11
Mercedes-Benz,GL 320,SUV,11
Saturn,S-Series,Sedan,11
Mercedes-Benz,E 320,Wagon,11
BMW,430i Gran Coupe xDrive,Hatchback,11
Kia,Forte,Hatchback,11
Volvo,V50,Wagon,11
