Entry,Make,Model,Body,Fit_age_a,Fit_age_b,Fit_age_c,Fit_age_R2,Fit_miles_a,Fit_miles_b,Fit_miles_c,Fit_miles_R2,Fit_age_cw_R2
45,Mercedes-Benz,E 350,Sedan,51140.4939,0.175710473,2421.135531,0.890553067,46718.44375,2.99E-05,8833.490306,0.827731657,0.212164534
46,Subaru,Outback,Sport Utility,34652.93529,0.165186698,2791.873429,0.886094773,31292.24302,9.73E-06,1.90E-11,0.801059192,0.638402931
47,BMW,X1,Sport Utility,42915.10206,0.194405614,2.70E-14,0.920119962,29404.6935,3.11E-05,10526.27684,0.895238549,0.780480393
48,Ford,Ranger,Truck,35745.17004,0.172263473,5916.667147,0.850908797,26999.94813,2.64E-05,7775.612577,0.817091453,
49,Audi,A4,Sedan,39914.37473,0.214921966,3612.313395,0.910332295,36161.44008,1.65E-05,1736.269517,0.7770643,
50,Acura,MDX,Sport Utility,55139.46673,0.190698046,2871.061373,0.898340646,44804.32267,1.43E-05,3286.710299,0.905294359,
51,GMC,Yukon,Sport Utility,50959.5553,0.113412806,2.88E-08,0.882551753,105000,0.0015,24684.96386,1.78E-15,
52,Volkswagen,GTI,Hatchback,33793.11402,0.197536084,4308.281995,0.890280811,25537.53083,1.71E-05,5011.875161,0.883118638,
53,Chevrolet,Silverado 2500,Truck,56655.82057,0.11918228,6220.361097,0.76542914,42953.15005,5.62E-06,1392.079078,0.48314442,-0.467498685
54,Audi,Q5,Sport Utility,40787.03656,0.226118507,7170.602941,0.877689953,37094.0819,1.82E-05,6691.933795,0.884665512,
55,GMC,Acadia,Sport Utility,34119.5397,0.102413304,4.66E-14,0.669796607,32830.75152,1.27E-05,3930.605822,0.811490603,-0.14707288
56,Dodge,Durango,Sport Utility,41347.97287,0.128903847,7.07E-13,0.645446359,38843.0049,9.56E-06,3.05E-12,0.679670298,
57,Ford,F350,Truck,48354.18082,0.130029572,10874.94923,0.747745667,40997.87589,9.90E-06,7952.861937,0.615940524,
58,Ford,Focus,Hatchback,29938.0898,0.233800834,2689.534028,0.501140278,17790.0101,9.28E-06,4.98E-10,0.389312483,
59,Land Rover,Range Rover Sport,Sport Utility,95045.87543,0.193360596,5.30E-14,0.922607592,83069.10775,2.53E-05,10501.34635,0.913945297,0.875516753
60,Volkswagen,Passat,Sedan,26750.3396,0.206547255,2934.349429,0.781390209,21839.11619,3.44E-05,7249.897587,0.867654271,0.288413499
61,Cadillac,Escalade,Sport Utility,73133.9369,0.136690442,1.88E-09,0.935388966,71838.37449,1.46E-05,3290.978155,0.844626578,0.811350527
62,MAZDA,MAZDA3,Hatchback,26355.77984,0.212999146,3616.385603,0.654491923,18368.15911,1.59E-05,4440.205657,0.597457007,
63,Nissan,Rogue,Sport Utility,23080.3852,0.11535757,1.73E-11,0.747321223,23240.60367,1.36E-05,2528.367038,0.877434067,
64,Audi,A3,Hatchback,33819.93559,0.181460138,3100.754786,0.902709362,28314.41984,1.94E-05,4108.192393,0.790619821,0.46235388
65,Dodge,Charger,Sedan,36038.79635,0.141796822,0.000553452,0.632012768,36419.58353,1.21E-05,1.24E-08,0.672347464,
66,Chevrolet,Equinox,Sport Utility,20705.57633,0.087269329,1.85E-15,0.55376705,20351.73097,2.28E-05,7361.728468,0.815413624,-0.488173472
67,Dodge,Ram 1500 Truck,Truck,50969.22043,0.114859338,8.87E-11,0.526211601,10000,0.003,11235.11012,-0.097937347,
68,Subaru,Forester,Sport Utility,30427.03344,0.136335271,1699.044901,0.893105083,26462.67315,9.19E-06,1.14E-08,0.646522236,0.216714347
69,Nissan,Sentra,Sedan,14012.8628,0.119638945,1836.188594,0.730577086,15097.18425,1.03E-05,1338.187459,0.884251456,
70,Toyota,Sequoia,Sport Utility,64723.53257,0.128549088,1.11E-12,0.863770429,51544.50997,1.32E-05,3377.091941,0.791064726,0.655431335
71,BMW,M3,Coupe,60382.96705,0.17073917,14738.03475,0.830527692,63884.65658,1.22E-05,5.94E-09,0.843614143,
72,Hyundai,Elantra,Hatchback,16752.51082,0.099531208,8.57E-16,0.78740887,14505.04727,1.38E-05,3398.890347,0.867602572,-1.325327445
73,Dodge,Ram 2500 Truck,Truck,180649.4694,0.268124739,19406.58863,0.120088261,105000,0.0015,24622.12727,3.33E-16,
74,Acura,RDX,Sport Utility,38569.91958,0.172473602,2905.154481,0.95587881,37832.35555,1.93E-05,5499.524469,0.945791518,0.74907065
75,Mitsubishi,Outlander,Sport Utility,30165.73526,0.16436495,1.41E-10,-0.11250596,17435.9919,0.001469385,15398.32157,0.430318766,-0.888394408
76,Honda,HR-V,Sport Utility,25648.94717,0.08910079,7.66E-09,0.438127996,10000,0.003,15749.25704,0.538601486,-2.901594496
77,Chevrolet,Impala,Sedan,23059.28564,0.130888341,3.57E-12,0.513733697,28276.20636,2.24E-05,3994.172006,0.910617924,
78,Lexus,IS 250,Sedan,43264.22459,0.130112945,8.55E-12,0.893602052,105000,0.001477402,15117.47059,1.51E-10,
79,Lexus,ES 350,Sedan,43575.67724,0.196800999,5161.536589,0.902995732,30850.93466,1.70E-05,5615.57055,0.690820079,
80,Jeep,Cherokee,Sport Utility,18563.15721,0.072509462,2489.14971,0.460569718,21520.26296,4.83E-06,5.92E-10,0.361835952,
81,Audi,Q7,Sport Utility,57546.18412,0.144770418,3.82E-10,0.92912143,59807.77201,1.43E-05,2.15E-07,0.828598421,
82,Hyundai,Sonata,Sedan,21485.54562,0.150462354,2125.044426,0.767073221,17760.93517,1.76E-05,4491.882592,0.741797893,
83,Mercedes-Benz,S 550,Sedan,91398.92675,0.180617879,3925.786747,0.894845232,105000,0.001499986,30077.22449,8.99E-15,
84,GMC,Yukon XL,Sport Utility,49587.98428,0.125595891,1.23E-15,0.936649903,59673.45387,1.11E-05,2.57E-10,0.937479838,0.709130774
85,Dodge,Grand Caravan,Van,19720.25983,0.093759652,1.09E-14,0.469912057,105000,0.001499076,13780.77081,9.72E-12,
86,Porsche,Boxster,Convertible,55904.71384,0.072377427,1.20E-12,0.795031375,118022.6207,0.001336216,24138.55307,0.005129025,
87,Nissan,Maxima,Sedan,30486.61466,0.178965006,2303.319275,0.699372785,30192.03305,1.36E-05,1109.503145,0.862403306,0.704115575
88,Mercedes-Benz,GLC 300,Sport Utility,17113.11399,0.737734216,26150.20079,0.590491522,16150.49801,5.30E-05,26071.67395,0.669851763,-0.816413016
89,Acura,TL,Sedan,34404.8874,0.157688562,2996.830603,0.699539972,105000,0.001126869,10236.06383,1.61E-10,
90,INFINITI,Q50,Sedan,20515.45585,0.176051804,11549.39514,0.432049146,19235.66647,0.002854173,23650.75555,0.059818264,-1.985091695
91,Mitsubishi,Outlander Sport,Sport Utility,20748.18745,0.105670217,1.29E-12,0.607886511,13969.73479,2.11E-05,6994.558187,0.702546714,0.117860676
92,Cadillac,CTS,Sedan,46779.76143,0.098312036,3.47E-11,0.071907599,52381.66688,1.09E-05,0.001525079,0.572769169,
93,INFINITI,G37,Coupe,38851.22228,0.113133573,5.35E-12,0.397680358,10000,0.0015,13545.02176,-0.324964919,
94,Toyota,Prius Prime,Hatchback,10000,0.315112137,20203.26265,0.228319147,10000,6.19E-05,20949.9345,0.442244387,-1.867594385
95,Porsche,Panamera,Sedan,200000,0.441432076,27300.56551,0.816262462,105679.0176,5.08E-05,28769.1661,0.882912696,
96,Chevrolet,Malibu,Sedan,20027.95693,0.117761126,1114.308372,0.694149088,20556.06831,1.67E-05,3337.878645,0.820755851,0.142061084
97,GMC,Sierra 2500,Truck,64526.54281,0.086571269,1.79E-10,0.808911694,133554.0507,0.001049139,27195.86047,0.238656434,-1.123268937
98,Mercedes-Benz,CLA 250,Sedan,23950.40486,0.375046087,15447.19868,0.825752019,17490.85199,4.86E-05,16444.79818,0.69215569,-0.008925059
99,Ford,Fiesta,Hatchback,17883.59401,0.109034935,2.22E-09,0.369882364,12294.26154,2.30E-05,4945.916291,0.765003082,
100,RAM,2500,Truck,40263.16382,0.07806346,10860.4713,0.300932563,51542.25323,5.73E-06,2.66E-06,0.51323446,
101,Audi,A6,Sedan,53014.08385,0.21560451,3690.576001,0.904302577,52564.40766,2.64E-05,7020.383488,0.902021454,
102,Land Rover,Range Rover Evoque,Sport Utility,38443.47621,0.199666177,10567.0821,0.83173227,36912.14961,5.28E-05,18957.6743,0.909010465,0.790085772
103,Porsche,Cayenne,Sport Utility,84001.53068,0.151261081,1.47E-14,0.845245871,68231.99631,1.51E-05,2448.553402,0.651667121,
104,BMW,535i,Sedan,50905.86627,0.156920701,8.77E-13,0.789752258,105000,0.0015,16790.11905,8.88E-16,
105,MINI,Cooper Countryman,Wagon,38407.95038,0.156929357,1.00E-10,0.843761364,28104.9996,4.37E-05,9349.469777,0.893915569,0.508932242
106,Mercedes-Benz,E 300,Sedan,44726.53455,0.128528405,2.49E-12,0.603988896,120329.1722,0.000222527,29735.31354,0.713556606,
107,Kia,Optima,Sedan,20912.74591,0.092733535,5.47E-10,0.475743185,17900.42978,3.06E-05,8508.794807,0.81700337,
108,Tesla,Model S,Sedan,87432.60879,0.119156715,4.04E-12,0.598083306,41684.77149,2.39E-05,26338.67414,0.583197133,
109,Land Rover,Range Rover,Sport Utility,108149.4171,0.182968765,4706.14043,0.922380264,99145.90231,2.10E-05,10069.38334,0.948371003,0.799134078
110,Lexus,GS 350,Sedan,49751.16954,0.189867142,5114.842095,0.919522319,36775.54231,1.38E-05,5610.704974,0.857074373,
111,BMW,335i,Sedan,42306.98824,0.130910912,1204.240324,0.674022082,105000,0.0015,12354.56098,0,
112,Hyundai,Santa Fe,Sport Utility,24129.92253,0.103785409,8.48E-11,0.800398081,23502.97573,8.26E-06,8.77E-12,0.663683389,
113,Jeep,Compass,Sport Utility,25213.87692,0.139575091,1081.002365,0.520027155,23920.52351,1.79E-05,3474.517354,0.894685816,-0.625845858
114,Ford,Expedition,Sport Utility,47904.81287,0.134489821,566.8327931,0.912385421,49888.19219,1.09E-05,5.66E-07,0.672746149,
115,BMW,i3,Hatchback,43992.8258,0.639536043,15241.11594,0.657085589,105000.0001,0.000560618,21447.66058,0.011886565,
116,Nissan,Murano,Sport Utility,29061.32289,0.1153305,277.4511611,0.815520055,27623.30704,9.87E-06,4.59E-08,0.686447066,
117,Mercedes-Benz,ML 350,Sport Utility,54910.21665,0.183237077,2595.135313,0.868345279,105000,0.0015,15216.55,0,
118,Nissan,370Z,Coupe,18500.72886,0.33125789,16868.72966,0.675355266,16126.65633,2.86E-05,13995.00684,0.701760617,-4.630731786
119,Chrysler,Pacifica,Sport Utility,30135.08443,0.110979911,2.37E-12,0.505284845,84127.9211,0.001828558,23714.05263,0.005188275,
120,Chevrolet,Colorado,Truck,33112.40798,0.0897077,2.50E-10,0.698914408,30642.4651,1.15E-05,3388.841315,0.740366313,
121,Chrysler,300,Sedan,25644.39581,0.104614753,6.96E-11,0.755771412,27658.25993,9.80E-06,1.47E-14,0.856467023,
122,MAZDA,CX-5,Sport Utility,29308.86206,0.118235752,2.63E-08,0.68280616,20520.53993,1.71E-05,8372.420685,0.719457745,
123,Nissan,Frontier,Truck,26187.65308,0.060709092,5.11E-14,0.825655106,24734.82158,6.18E-06,2.64E-07,0.764300289,
124,Nissan,Pathfinder,Sport Utility,29060.58517,0.11932784,828.8665548,0.727477605,27743.74801,8.72E-06,2.82E-11,0.847210285,0.271382058
125,Chevrolet,Silverado 3500,Truck,69257.6662,0.141430909,9513.492976,0.533704322,34927.49452,0.0015,26991.51656,0.239720588,
126,Honda,Ridgeline,Truck,41794.7583,0.10531032,6.95E-14,0.953010375,37482.49953,9.12E-06,4.32E-14,0.961474447,0.493605504
127,Volkswagen,Golf R,Hatchback,36452.66182,0.210595163,12580.42892,0.978510081,40381.74034,1.39E-05,2202.585587,0.972891671,
128,Toyota,Avalon,Sedan,41038.8587,0.185424576,3478.987661,0.937369377,31369.07789,0.0015,10856.45546,0.890915856,0.758868631
129,Mercedes-Benz,GLE 350,Sport Utility,39115.31888,0.328451319,17832.53072,0.919680342,38548.84948,6.06E-05,25288.73706,0.794316161,0.649818913
130,Honda,Passport,Sport Utility,39825.50315,0.173779381,2359.870327,0.090666491,10000.00008,2.77E-05,26935.40362,0.006948256,-1.338158232
131,Subaru,Impreza,Hatchback,26382.47276,0.111245525,3.12E-12,0.812407552,19373.30168,1.10E-05,2473.099949,0.893444664,
132,Kia,Soul,Hatchback,16752.35484,0.127211334,1387.132109,0.720376465,17649.72105,3.34E-05,6446.388263,0.884419621,0.192582136
133,smart,fortwo,Coupe,42673.30074,0.857943265,7055.700095,0.928860986,17144.11787,0.000363317,8871.805154,0.925082981,
134,Jeep,Renegade,Sport Utility,24380.54832,0.629290097,13677.63308,0.20450355,10000,0.000183565,14921.68191,0.557502479,
135,Lincoln,Continental,Sedan,97189.66546,0.05,1275.792619,0.112500408,10000,0.003,50000,-0.341321291,
136,Volkswagen,Beetle,Convertible,29009.07966,0.200642236,3326.140469,0.833619254,21290.57008,2.11E-05,3657.208778,0.804450896,
137,INFINITI,QX80,Sport Utility,49362.58659,0.088335098,4.10E-15,0.614054244,46749.33356,4.88E-05,28976.71811,0.771294941,
138,Chevrolet,Cruze,Hatchback,16904.18903,0.09542216,6.13E-08,0.464103448,14128.55698,1.70E-05,4696.869107,0.58186857,
139,BMW,Z4,Convertible,56361.49189,0.203074622,7342.738631,0.939562819,40712.50381,0.003,16419.09557,0.75430764,0.656974105
140,Nissan,Versa,Hatchback,10850.17202,0.1259272,2276.044365,0.799852092,79854.51059,0.000554988,9412.26736,0.009024819,
141,BMW,528i,Sedan,42452.49417,0.194415426,3525.575581,0.85950514,105000,0.0015,15669.21212,-2.22E-16,
142,Toyota,FJ Cruiser,Sport Utility,64366.42968,0.196715796,11022.88794,0.83121557,105000,0.0015,20156.24242,0,
143,BMW,X2,Sport Utility,14164.07972,1,26830.1156,0.422077882,16612.21788,0.000100156,26389.17286,0.538806424,0.34118492
144,Volvo,XC90,Sport Utility,61196.6543,0.171660325,7.88E-13,0.962615839,41790.15927,0.003,20769.29747,0.46673409,0.892596452
145,Buick,Enclave,Sport Utility,60618.38057,0.363798411,9784.99761,0.836915658,37233.33433,3.18E-05,11615.64685,0.794826975,
146,Hyundai,Tucson,Sport Utility,21000.66873,0.093837104,1.22E-10,0.808448999,21906.47565,8.04E-06,2.64E-08,0.903151006,0.000565112
147,Nissan,Armada,Sport Utility,42391.22714,0.154813318,2593.514515,0.951941485,46620.14337,1.01E-05,7.85E-06,0.900464221,
148,Cadillac,Escalade ESV,Sport Utility,74062.64776,0.183548464,3983.974008,0.856584822,83415.45881,2.30E-05,9368.367833,0.906947721,0.760423607
