Entry,Make,Model,Fit_age_a,Fit_age_b,Fit_age_c,Fit_age_R2,Fit_miles_a,Fit_miles_b,Fit_miles_c,Fit_miles_R2
1,Toyota,Camry,24778.00122187929,0.16734511532563837,3505.3857411765584,0.8297059619023175,24332.283293676104,2.3174658772518675e-05,6125.438400607351,0.8734501782728067
2,Ford,F150,41252.138770049394,0.12753086144189413,3840.296289298766,0.6407105182168311,38241.90853162744,1.3135224156707836e-05,6276.388575259926,0.6399480614382784
3,Honda,Civic,23752.46105580039,0.13852308504969105,1994.2332877658228,0.8477994879718938,21177.00532713205,1.4357126034032855e-05,3096.003905643116,0.828102666101499
4,Toyota,Corolla,17899.25725424593,0.12237085934230234,2546.9411879857416,0.8357950283222952,16592.497336684733,2.1923773386921694e-05,5843.184473499054,0.9075698331427761
5,Chevrolet,Silverado 1500,37447.64600483458,0.08078423470828759,2.4644763158931764e-12,0.6812058553708575,33598.86604786906,6.523596345430311e-06,5.018203160249337e-09,0.5824063491222082
6,Toyota,RAV4,31410.6187148412,0.14748635477368685,2830.694783383754,0.8523358945922539,26115.42446631284,2.1009386673207378e-05,7563.571639238431,0.8479223277702468
7,Toyota,Tacoma,35495.44566008494,0.0659380793162928,8.365293422969277e-12,0.7789564828958189,27813.06271556215,1.0124383046156903e-05,7736.29821127668,0.7549089107472299
8,Honda,Accord,27314.35515042422,0.14081998052897174,2286.4781370546384,0.8871864953839039,24574.76046417197,1.7469544909904608e-05,4790.801031321095,0.8957769848617694
9,Toyota,Highlander,45184.35895052583,0.1779427236250359,4338.054280134395,0.908655028083547,36716.28524380849,1.6031528050681312e-05,7064.063426086183,0.9133234353154392
10,Jeep,Wrangler,37932.03748836076,0.1475465816325837,9755.094575607553,0.5879836489907437,26098.19444145794,1.6826577836825346e-05,14084.710359972823,0.5986497975746851
11,Honda,CR-V,28637.274889917837,0.12784607646696866,2324.765459024683,0.9113365955593183,22972.26743700075,1.7536412994566174e-05,6517.581706832492,0.9042916662047454
12,Ford,Mustang,24347.709007417063,0.21050570293009002,11043.981212609004,0.21644028281260286,33320.19660212362,2.398276581233215e-05,6855.190900595625,0.6389272601709757
13,Jeep,Grand Cherokee,39042.060367602,0.1062231884276425,1.8382222073645488e-11,0.4117188621241682,25286.43779422218,0.0021407775793821217,22623.295232520315,0.4206526402119629
14,Toyota,Prius,29025.738515571098,0.13958556140233813,1587.323851861868,0.8965780828929507,20297.331657694413,1.427819496160027e-05,5021.655353633748,0.7087344580130307
15,BMW,X3,43249.733691446185,0.19906780759745096,3140.039445790127,0.9055776103753804,40974.80619310186,2.6930658900480934e-05,7997.798074089997,0.9382412239444782
16,Toyota,Tundra,42403.82271823516,0.12350721226097615,6031.079525123006,0.8546485308782896,35637.368645070135,1.4108663522644158e-05,9597.621084660428,0.8472099524417084
17,BMW,330i,41473.03407691183,0.2659448180086395,5655.943413792565,0.7968381813654809,41020.967731245924,2.7862021696088853e-05,4600.293776097969,0.8519261418909925
18,Toyota,4Runner,45247.512441343555,0.0961660100616182,6.17848758266426e-11,0.9014695899125266,41257.824662068255,8.979098546640933e-06,2173.794161696876,0.8861386865195923
