index,Make,Model,Fit_age_a,Fit_age_b,Fit_age_R2,Body,Half life
266,Saturn,Vue,18187.70854,0.117965554,0.212676773,SUV,5.875867784
242,Scion,tC,24347.18617,0.135392639,0.666312848,Coupe,5.11955456
156,Subaru,Impreza,22493.30169,0.101827733,0.74403659,Wagon,6.80708464
80,Subaru,Forester,31644.22354,0.126895464,0.867542183,SUV,5.462370182
194,Subaru,Legacy,22935.5945,0.093937792,0.747773784,Sedan,7.378819399
217,Subaru,Crosstrek,27238.36741,0.087523413,0.665509523,SUV,7.919595154
269,Subaru,WRX,33146.44934,0.078795235,0.342288552,Sedan,8.796851706
83,Subaru,Outback,35812.97307,0.135222825,0.894062656,Wagon,5.125983706
178,Subaru,Impreza WRX,30018.35428,0.067286144,0.222474058,Sedan,10.30152661
93,Tesla,Model S,96433.25369,0.139808127,0.499232733,Hatchback,4.957866301
188,Tesla,Model X,109083.5183,0.139179482,0.091084651,SUV,4.980259967
225,Toyota,Venza,26420.78455,0.097812078,0.36646094,SUV,7.08654813
245,Toyota,C-HR,24412.19359,0.098445534,0.266761658,SUV,7.040949167
34,Toyota,4Runner,43151.00024,0.098608022,0.915130274,SUV,7.02934694
15,Toyota,Tacoma,35795.74385,0.075836365,0.827819679,Truck,9.140074114
8,Toyota,Corolla,19780.0846,0.102216003,0.88144564,Sedan,6.781227767
291,Toyota,Prius Prime,30341.5359,0.066934785,0.456861744,Hatchback,10.35560215
26,Toyota,Tundra,47338.86299,0.10338054,0.870950588,Truck,6.704840223
2,Toyota,Camry,25050.29406,0.11125194,0.83828332,Sedan,6.230453151
11,Toyota,RAV4,29735.49063,0.107682206,0.857218681,SUV,6.436996633
191,Toyota,Yaris,17947.99998,0.107736294,0.916159057,Sedan,6.433765001
203,Toyota,FJ Cruiser,57666.85609,0.110848424,0.684957905,SUV,6.253133531
121,Toyota,Avalon,40326.28455,0.145809886,0.934377548,Sedan,4.753792886
10,Toyota,Highlander,45145.76906,0.1362899,0.913261027,SUV,5.085850083
32,Toyota,Prius,29951.27196,0.12558963,0.866298612,Hatchback,5.519165854
28,Toyota,Sienna,35614.528,0.125827447,0.885919526,Van,5.508734514
239,Toyota,Solara,37740.05972,0.130606326,0.367015514,Convertible,5.307170178
119,Toyota,Sequoia,59638.53139,0.132835795,0.869422587,SUV,5.21809652
33,Volkswagen,Tiguan,27808.06676,0.138127922,0.841596599,SUV,5.01817437
98,Volkswagen,GTI,32253.79229,0.133971992,0.891611223,Hatchback,5.17384261
274,Volkswagen,e-Golf,44654.61577,0.249014252,0.928333138,Hatchback,2.783575615
279,Volkswagen,CC,34257.64739,0.165803087,0.749564576,Sedan,4.180561495
92,Volkswagen,Golf,26962.4919,0.131153367,0.770639456,Hatchback,5.28503398
110,Volkswagen,Beetle,22799.65348,0.104172486,0.75368148,Hatchback,6.653868308
288,Volkswagen,Golf R,46455.66893,0.12283932,0.952770331,Hatchback,5.642737173
223,Volkswagen,Touareg,48575.56769,0.162982601,0.679252868,SUV,4.25290795
20,Volkswagen,Jetta,22883.80212,0.131449349,0.806848222,Sedan,5.273133744
39,Volkswagen,Passat,23581.24099,0.122031314,0.774304263,Sedan,5.680099475
185,Volvo,S60,44250.20837,0.176720357,0.870848612,Sedan,3.922298547
150,Volvo,XC90,61324.7565,0.180910307,0.912909181,SUV,3.831456659
196,Volvo,XC60,52543.22897,0.183575337,0.833043266,SUV,3.775834009
253,smart,fortwo,24880.06907,0.169863645,0.811008691,Coupe,4.080625964
