,@context,@type,Condition,Location,Options,bodyType,brand,color,description,driveWheelConfiguration,image,manufacturer,mileageFromOdometer_@type,mileageFromOdometer_value,model,name,offers_@type,offers_availability,offers_itemCondition,offers_price,offers_priceCurrency,productionDate,url,vehicleEngine,vehicleIdentificationNumber,vehicleInteriorColor,vehicleTransmission
0,http://schema.org/,Car,Used,"New York, NY","Bluetooth Hands-Free, CD Player, Cruise Control, Heated Seats, Keyless Entry, Leather Seats, Power Locks, Power Windows, Premium Wheels, Security System",Sport Utility,Hyundai,Black,"Location: New York, NY. This 2011 Hyundai Tucson includes Bluetooth Hands-Free, CD Player, Cruise Control, Heated Seats, Keyless Entry, Leather Seats, Power Locks, Power Windows, Premium Wheels, Security System",2 wheel drive - front,https://images.autotrader.com/images/2020/1/12/541/081/43666582426.541081078.IM1.MAIN.640x480_A.640x461.jpg,Hyundai,QuantitativeValue,94900,Tucson,Used 2011 Hyundai Tucson Limited,Offer,http://schema.org/InStock,http://schema.org/UsedCondition,7950,USD,2011,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=541081078,4-Cylinder,KM8JU3AC1BU248901,Black,Automatic
1,http://schema.org/,Car,Used,"New York, NY","17"" 6 Spoke Aluminum Wheels, 3.08 Axle Ratio, 4-Wheel Disc Brakes, 6 Speakers, ABS brakes, AM/FM 6-Disc CD Changer, AM/FM radio, Air Conditioning",Sport Utility,Toyota,Blue,"Location: New York, NY. This 2008 Toyota RAV4 includes 17"" 6 Spoke Aluminum Wheels, 3.08 Axle Ratio, 4-Wheel Disc Brakes, 6 Speakers, ABS brakes, AM/FM 6-Disc CD Changer, AM/FM radio, Air Conditioning",4 wheel drive - front wheel default,https://images.autotrader.com/hn/c/c9ee401311e44ddd9f2d7716047c81a5.jpg,Toyota,QuantitativeValue,147161,RAV4,Used 2008 Toyota RAV4 Limited,Offer,http://schema.org/InStock,http://schema.org/UsedCondition,7995,USD,2008,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=540171519,4-Cylinder,JTMBD31V586087962,Ash,Automatic
2,http://schema.org/,Car,Used,"New York, NY",,,Toyota,White,"Location: New York, NY. This 2008 Toyota Camry is listed for $9799",2 wheel drive - front,https://images.autotrader.com/images/2019/12/12/537/869/43664771355.537869342.IM1.MAIN.800x600_A.640x480.jpg,Toyota,QuantitativeValue,48082,Camry,Used 2008 Toyota Camry Hybrid,Offer,http://schema.org/InStock,http://schema.org/USEDCondition,9799,USD,2008,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=537869342,Hybrid,4T1BB46K18U046455,,
3,http://schema.org/,Car,Used,"New York, NY",,,BMW,Blue,"Location: New York, NY. This 2008 BMW M3 is listed for $33950",2 wheel drive - rear,https://images.autotrader.com/hn/c/10b496f6c95443f787bf7fd35e2150d2.jpg,BMW,QuantitativeValue,34861,M3,Used 2008 BMW M3 Coupe,Offer,http://schema.org/InStock,http://schema.org/USEDCondition,33950,USD,2008,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=532167761,8-Cylinder,WBSWD935X8PY39837,,
4,http://schema.org/,Car,Used,"New York, NY","16"" x 6.5J Steel Wheels, 3.08 Axle Ratio, 4-Wheel Disc Brakes, 6 Speakers, ABS brakes, AM/FM CD Player, AM/FM radio, Air Conditioning, Brake assist",Sport Utility,Toyota,Red,"Location: New York, NY. This 2008 Toyota RAV4 includes 16"" x 6.5J Steel Wheels, 3.08 Axle Ratio, 4-Wheel Disc Brakes, 6 Speakers, ABS brakes, AM/FM CD Player, AM/FM radio, Air Conditioning, Brake assist",4 wheel drive - front wheel default,https://images.autotrader.com/hn/c/4eaa2538a9814b19aa21c7bcc7de5367.jpg,Toyota,QuantitativeValue,135559,RAV4,Used 2008 Toyota RAV4 4WD,Offer,http://schema.org/InStock,http://schema.org/UsedCondition,7495,USD,2008,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=540171521,4-Cylinder,JTMBD33V985165629,Dark Charcoal,Automatic
5,http://schema.org/,Car,Used,"New York, NY","6 Speakers, ABS brakes, AM/FM CD w/6 Speakers, AM/FM radio, Air Conditioning, Alloy wheels, Automatic temperature control, Brake assist, Bumpers: body-color",Hatchback,Toyota,Red,"Location: New York, NY. This 2008 Toyota Prius includes 6 Speakers, ABS brakes, AM/FM CD w/6 Speakers, AM/FM radio, Air Conditioning, Alloy wheels, Automatic temperature control, Brake assist, Bumpers: body-color",2 wheel drive - front,https://images.autotrader.com/hn/c/6adc415e3b404c8dbb4e2449b2ba2f97.jpg,Toyota,QuantitativeValue,165485,Prius,Used 2008 Toyota Prius,Offer,http://schema.org/InStock,http://schema.org/UsedCondition,5595,USD,2008,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=540171526,4-Cylinder,JTDKB20U783419037,Bisque,Automatic
6,http://schema.org/,Car,Used,"New York, NY","2-Stage Unlocking Doors, 4wd Selector - Electronic Hi-Lo, 4wd Type - Part Time, Airbag Deactivation - Occupant Sensing Passenger, Antenna Type - Mast",Truck,Dodge,Silver,"Location: New York, NY. This 2008 Dodge Ram 1500 Truck includes 2-Stage Unlocking Doors, 4wd Selector - Electronic Hi-Lo, 4wd Type - Part Time, Airbag Deactivation - Occupant Sensing Passenger, Antenna Type - Mast",4 wheel drive,https://images.autotrader.com/hn/c/d98d312897074e36b7e917780fa9a1f1.jpg,Dodge,QuantitativeValue,108587,Ram 1500 Truck,Used 2008 Dodge Ram 1500 Truck 4x4 Quad Cab SLT,Offer,http://schema.org/InStock,http://schema.org/UsedCondition,10490,USD,2008,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=536124151,8-Cylinder,1D7HU18268S517957,Gray,Automatic
7,http://schema.org/,Car,Used,"New York, NY","2-Stage Unlocking Doors, Abs - 4-Wheel, Active Head Restraints - Dual Front, Active Suspension, Air Filtration - Active Charcoal, Air Suspension",Sedan,Mercedes-Benz,Black,"Location: New York, NY. This 2008 Mercedes-Benz CLS 550 includes 2-Stage Unlocking Doors, Abs - 4-Wheel, Active Head Restraints - Dual Front, Active Suspension, Air Filtration - Active Charcoal, Air Suspension",2 wheel drive - rear,https://images.autotrader.com/hn/c/48faf7a1fe8f40d09bb4c2b9682d9104.jpg,Mercedes-Benz,QuantitativeValue,88617,CLS 550,Used 2008 Mercedes-Benz CLS 550,Offer,http://schema.org/InStock,http://schema.org/UsedCondition,10450,USD,2008,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=533680190,8-Cylinder,WDDDJ72X78A136008,Beige,Automatic
8,http://schema.org/,Car,Used,"New York, NY","Abs - Rear, Airbag Deactivation - Occupant Sensing Passenger, Antenna Type - Mast, Anti-Theft System - Engine Immobilizer, Axle Ratio - 3.21",Truck,Dodge,White,"Location: New York, NY. This 2008 Dodge Ram 1500 Truck includes Abs - Rear, Airbag Deactivation - Occupant Sensing Passenger, Antenna Type - Mast, Anti-Theft System - Engine Immobilizer, Axle Ratio - 3.21",2 wheel drive - rear,https://images.autotrader.com/hn/c/46619dd6e1db4710a113328c7b234630.jpg,Dodge,QuantitativeValue,101410,Ram 1500 Truck,Used 2008 Dodge Ram 1500 Truck 2WD Quad Cab,Offer,http://schema.org/InStock,http://schema.org/UsedCondition,9995,USD,2008,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=538170460,8-Cylinder,1D7HA18N98S565472,Gray,Automatic
9,http://schema.org/,Car,Used,"New York, NY",,,Chevrolet,Blue,"Location: New York, NY. This 2008 Chevrolet Silverado 1500 is listed for $10987",2 wheel drive - rear,https://images.autotrader.com/hn/c/05b42516ffc443c1a3d77ad15283b48e.jpg,Chevrolet,QuantitativeValue,65453,Silverado 1500,Used 2008 Chevrolet Silverado 1500 W/T,Offer,http://schema.org/InStock,http://schema.org/USEDCondition,10987,USD,2008,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=538754799,6-Cylinder,1GCEC14X38Z314405,,
